,adk,atpA,dxr,glyA,recA,sodA,tpi,mlst_clade
637,13,17,22,29,16,31,26,cryptic
638,13,18,22,33,18,31,28,cryptic
639,30,41,66,59,58,53,88,cryptic
640,30,41,66,59,58,53,88,cryptic
641,13,18,22,111,18,31,26,cryptic
642,13,65,22,40,35,81,26,cryptic
643,64,21,67,87,48,36,30,cryptic
644,30,41,68,97,61,82,86,cryptic
645,15,30,28,38,21,83,30,cryptic
646,15,30,28,38,21,83,30,cryptic
647,13,17,22,33,18,31,26,cryptic
648,26,36,37,54,31,49,52,cryptic
649,71,78,73,113,65,92,97,cryptic
650,13,18,22,33,18,31,32,cryptic
651,13,17,22,33,18,31,26,cryptic
652,27,38,40,55,31,49,49,cryptic
653,13,18,22,33,18,31,28,cryptic
654,68,70,28,104,21,36,30,cryptic
655,13,31,22,40,26,31,26,cryptic
656,13,18,22,33,18,31,28,cryptic
657,15,33,31,48,21,46,42,cryptic
658,13,18,22,105,63,32,28,cryptic
659,15,30,28,38,21,83,30,cryptic
660,15,30,28,38,21,83,30,cryptic
661,15,21,28,38,21,36,30,cryptic
662,58,49,62,69,37,52,64,cryptic
663,13,17,22,33,17,31,68,cryptic
664,13,17,22,33,17,31,68,cryptic
665,13,46,22,91,18,73,32,cryptic
666,13,18,22,111,18,31,26,cryptic
667,15,21,28,38,21,36,30,cryptic
668,28,39,54,95,53,77,56,cryptic
669,15,21,28,38,21,36,30,cryptic
670,84,46,22,40,17,32,68,cryptic
671,54,58,59,88,49,69,79,cryptic
672,53,21,58,87,48,36,30,cryptic
673,26,36,37,54,31,49,52,cryptic
674,26,36,39,52,31,49,52,cryptic
675,26,35,37,54,31,49,49,cryptic
676,26,35,39,52,31,49,52,cryptic
677,24,36,37,54,31,49,50,cryptic
678,26,36,37,54,31,49,52,cryptic
679,26,36,37,54,31,49,52,cryptic
680,26,36,39,52,31,49,52,cryptic
681,25,21,38,53,21,48,53,cryptic
682,27,37,39,55,31,49,54,cryptic
683,27,38,40,56,31,49,55,cryptic
684,13,17,22,33,18,31,51,cryptic
685,25,21,38,53,21,36,53,cryptic
686,26,35,39,54,31,47,50,cryptic
687,26,35,37,54,31,49,52,cryptic
688,26,36,39,52,31,49,52,cryptic
689,93,39,41,130,43,50,56,cryptic
690,94,93,90,104,21,36,30,cryptic
691,95,21,91,53,21,106,110,cryptic
692,96,94,92,79,29,37,108,cryptic
693,13,46,22,33,18,31,68,cryptic
694,97,95,93,131,79,108,88,cryptic
695,86,89,86,125,73,100,106,cryptic
696,88,39,54,57,74,50,56,cryptic
697,89,90,87,126,75,102,107,cryptic
698,57,61,61,90,50,71,83,cryptic
699,57,61,61,90,50,71,83,cryptic
700,88,39,54,57,74,50,56,cryptic
701,86,89,86,125,73,100,106,cryptic
702,57,61,61,90,50,71,83,cryptic
703,86,89,86,125,73,100,106,cryptic
704,86,89,86,125,73,100,106,cryptic
705,57,61,61,90,50,71,83,cryptic
706,86,89,86,125,73,100,106,cryptic
707,23,91,88,127,76,37,108,cryptic
708,87,89,86,128,77,103,106,cryptic
709,23,91,88,127,76,37,108,cryptic
710,87,89,86,125,73,101,106,cryptic
711,86,89,86,125,73,100,106,cryptic
712,80,81,77,120,66,97,98,cryptic
713,76,85,84,118,71,94,98,cryptic
714,79,81,77,118,66,94,102,cryptic
715,76,85,81,120,66,94,102,cryptic
716,76,81,77,121,70,94,98,cryptic
717,78,84,80,119,68,96,103,cryptic
718,76,83,79,120,66,94,100,cryptic
719,78,84,80,119,68,96,103,cryptic
720,76,83,79,120,66,94,100,cryptic
721,76,81,83,121,66,94,101,cryptic
722,76,81,77,121,70,94,98,cryptic
723,77,82,78,117,67,95,99,cryptic
724,76,86,77,120,69,94,104,cryptic
725,81,81,79,121,66,98,101,cryptic
726,77,82,78,117,67,95,99,cryptic
727,77,82,78,117,67,95,99,cryptic
728,77,82,78,117,67,95,99,cryptic
729,76,81,77,120,66,94,101,cryptic
730,53,21,58,140,48,36,30,cryptic
731,15,21,28,38,82,106,30,cryptic
732,13,18,22,105,63,32,28,cryptic
733,105,78,73,148,65,124,97,cryptic
734,71,78,73,149,65,126,97,cryptic
735,38,49,101,150,85,52,118,cryptic
736,105,78,73,148,65,124,97,cryptic
737,105,78,73,151,65,124,119,cryptic
738,105,99,73,122,65,124,119,cryptic
739,105,99,73,122,65,125,120,cryptic
740,1,1,106,1,5,3,1,cryptic
741,71,78,73,151,65,92,97,cryptic
742,13,17,85,123,86,31,105,cryptic
743,105,78,73,151,65,124,119,cryptic
744,105,78,73,148,65,124,97,cryptic
